YEAR,REGION,STATE,CIOTHSVC,CIOTHSVC_COUNTS
2013,11,Connecticut,0.0,6900
2013,11,Connecticut,1.0,342
2013,11,Connecticut,2.0,29140
2013,11,Maine,0.0,3159
2013,11,Maine,1.0,182
2013,11,Maine,2.0,9641
2013,11,Massachusetts,0.0,13298
2013,11,Massachusetts,1.0,604
2013,11,Massachusetts,2.0,54823
2013,11,New Hampshire,0.0,2399
2013,11,New Hampshire,1.0,111
2013,11,New Hampshire,2.0,11037
2013,11,Rhode Island,0.0,2206
2013,11,Rhode Island,1.0,77
2013,11,Rhode Island,2.0,8335
2013,11,Vermont,0.0,1373
2013,11,Vermont,1.0,77
2013,11,Vermont,2.0,4938
2013,12,New Jersey,0.0,14984
2013,12,New Jersey,1.0,844
2013,12,New Jersey,2.0,72682
2013,12,New York,0.0,44422
2013,12,New York,1.0,2085
2013,12,New York,2.0,149658
2013,12,Pennsylvania,0.0,31254
2013,12,Pennsylvania,1.0,1057
2013,12,Pennsylvania,2.0,96071
2013,21,Illinois,0.0,28293
2013,21,Illinois,1.0,1664
2013,21,Illinois,2.0,98113
2013,21,Indiana,0.0,17644
2013,21,Indiana,1.0,871
2013,21,Indiana,2.0,47848
2013,21,Michigan,0.0,25159
2013,21,Michigan,1.0,1555
2013,21,Michigan,2.0,72727
2013,21,Ohio,0.0,29144
2013,21,Ohio,1.0,1421
2013,21,Ohio,2.0,87658
2013,21,Wisconsin,0.0,14085
2013,21,Wisconsin,1.0,828
2013,21,Wisconsin,2.0,43643
2013,22,Iowa,0.0,7932
2013,22,Iowa,1.0,398
2013,22,Iowa,2.0,23487
2013,22,Kansas,0.0,7275
2013,22,Kansas,1.0,477
2013,22,Kansas,2.0,21617
2013,22,Minnesota,0.0,12081
2013,22,Minnesota,1.0,865
2013,22,Minnesota,2.0,42042
2013,22,Missouri,0.0,17086
2013,22,Missouri,1.0,975
2013,22,Missouri,2.0,43638
2013,22,Nebraska,0.0,4636
2013,22,Nebraska,1.0,283
2013,22,Nebraska,2.0,13916
2013,22,North Dakota,0.0,1804
2013,22,North Dakota,1.0,89
2013,22,North Dakota,2.0,5542
2013,22,South Dakota,0.0,2437
2013,22,South Dakota,1.0,117
2013,22,South Dakota,2.0,6186
2013,31,Delaware,0.0,1944
2013,31,Delaware,1.0,90
2013,31,Delaware,2.0,6733
2013,31,District of Columbia,0.0,1828
2013,31,District of Columbia,1.0,72
2013,31,District of Columbia,2.0,4672
2013,31,Florida,0.0,42685
2013,31,Florida,1.0,1985
2013,31,Florida,2.0,146364
2013,31,Georgia,0.0,24646
2013,31,Georgia,1.0,1100
2013,31,Georgia,2.0,70822
2013,31,Maryland,0.0,10982
2013,31,Maryland,1.0,751
2013,31,Maryland,2.0,47300
2013,31,North Carolina,0.0,25469
2013,31,North Carolina,1.0,1020
2013,31,North Carolina,2.0,70821
2013,31,South Carolina,0.0,13756
2013,31,South Carolina,1.0,741
2013,31,South Carolina,2.0,32708
2013,31,Virginia,0.0,17633
2013,31,Virginia,1.0,933
2013,31,Virginia,2.0,64478
2013,31,West Virginia,0.0,5454
2013,31,West Virginia,1.0,145
2013,31,West Virginia,2.0,12669
2013,32,Alabama,0.0,15307
2013,32,Alabama,1.0,431
2013,32,Alabama,2.0,32098
2013,32,Kentucky,0.0,12387
2013,32,Kentucky,1.0,464
2013,32,Kentucky,2.0,32146
2013,32,Mississippi,0.0,11663
2013,32,Mississippi,1.0,346
2013,32,Mississippi,2.0,17639
2013,32,Tennessee,0.0,18557
2013,32,Tennessee,1.0,785
2013,32,Tennessee,2.0,45806
2013,33,Arkansas,0.0,10424
2013,33,Arkansas,1.0,395
2013,33,Arkansas,2.0,18772
2013,33,Louisiana,0.0,14086
2013,33,Louisiana,1.0,495
2013,33,Louisiana,2.0,30046
2013,33,Oklahoma,0.0,12793
2013,33,Oklahoma,1.0,634
2013,33,Oklahoma,2.0,23719
2013,33,Texas,0.0,65519
2013,33,Texas,1.0,4317
2013,33,Texas,2.0,183763
2013,41,Arizona,0.0,17329
2013,41,Arizona,1.0,642
2013,41,Arizona,2.0,48561
2013,41,Colorado,0.0,9428
2013,41,Colorado,1.0,799
2013,41,Colorado,2.0,41880
2013,41,Idaho,0.0,3446
2013,41,Idaho,1.0,309
2013,41,Idaho,2.0,12031
2013,41,Montana,0.0,2561
2013,41,Montana,1.0,165
2013,41,Montana,2.0,7387
2013,41,Nevada,0.0,5318
2013,41,Nevada,1.0,428
2013,41,Nevada,2.0,21002
