YEAR,REGION,STATE,CISAT,CISAT_COUNTS
2013,11,Connecticut,0.0,6900
2013,11,Connecticut,1.0,957
2013,11,Connecticut,2.0,28525
2013,11,Maine,0.0,3159
2013,11,Maine,1.0,745
2013,11,Maine,2.0,9078
2013,11,Massachusetts,0.0,13298
2013,11,Massachusetts,1.0,1873
2013,11,Massachusetts,2.0,53554
2013,11,New Hampshire,0.0,2399
2013,11,New Hampshire,1.0,549
2013,11,New Hampshire,2.0,10599
2013,11,Rhode Island,0.0,2206
2013,11,Rhode Island,1.0,227
2013,11,Rhode Island,2.0,8185
2013,11,Vermont,0.0,1373
2013,11,Vermont,1.0,440
2013,11,Vermont,2.0,4575
2013,12,New Jersey,0.0,14984
2013,12,New Jersey,1.0,2668
2013,12,New Jersey,2.0,70858
2013,12,New York,0.0,44422
2013,12,New York,1.0,7003
2013,12,New York,2.0,144740
2013,12,Pennsylvania,0.0,31254
2013,12,Pennsylvania,1.0,4435
2013,12,Pennsylvania,2.0,92693
2013,21,Illinois,0.0,28293
2013,21,Illinois,1.0,7490
2013,21,Illinois,2.0,92287
2013,21,Indiana,0.0,17644
2013,21,Indiana,1.0,3624
2013,21,Indiana,2.0,45095
2013,21,Michigan,0.0,25159
2013,21,Michigan,1.0,6434
2013,21,Michigan,2.0,67848
2013,21,Ohio,0.0,29144
2013,21,Ohio,1.0,4652
2013,21,Ohio,2.0,84427
2013,21,Wisconsin,0.0,14085
2013,21,Wisconsin,1.0,4129
2013,21,Wisconsin,2.0,40342
2013,22,Iowa,0.0,7932
2013,22,Iowa,1.0,2166
2013,22,Iowa,2.0,21719
2013,22,Kansas,0.0,7275
2013,22,Kansas,1.0,1815
2013,22,Kansas,2.0,20279
2013,22,Minnesota,0.0,12081
2013,22,Minnesota,1.0,4323
2013,22,Minnesota,2.0,38584
2013,22,Missouri,0.0,17086
2013,22,Missouri,1.0,4033
2013,22,Missouri,2.0,40580
2013,22,Nebraska,0.0,4636
2013,22,Nebraska,1.0,1260
2013,22,Nebraska,2.0,12939
2013,22,North Dakota,0.0,1804
2013,22,North Dakota,1.0,481
2013,22,North Dakota,2.0,5150
2013,22,South Dakota,0.0,2437
2013,22,South Dakota,1.0,547
2013,22,South Dakota,2.0,5756
2013,31,Delaware,0.0,1944
2013,31,Delaware,1.0,231
2013,31,Delaware,2.0,6592
2013,31,District of Columbia,0.0,1828
2013,31,District of Columbia,1.0,148
2013,31,District of Columbia,2.0,4596
2013,31,Florida,0.0,42685
2013,31,Florida,1.0,7221
2013,31,Florida,2.0,141128
2013,31,Georgia,0.0,24646
2013,31,Georgia,1.0,4790
2013,31,Georgia,2.0,67132
2013,31,Maryland,0.0,10982
2013,31,Maryland,1.0,2013
2013,31,Maryland,2.0,46038
2013,31,North Carolina,0.0,25469
2013,31,North Carolina,1.0,4248
2013,31,North Carolina,2.0,67593
2013,31,South Carolina,0.0,13756
2013,31,South Carolina,1.0,2077
2013,31,South Carolina,2.0,31372
2013,31,Virginia,0.0,17633
2013,31,Virginia,1.0,3710
2013,31,Virginia,2.0,61701
2013,31,West Virginia,0.0,5454
2013,31,West Virginia,1.0,1025
2013,31,West Virginia,2.0,11789
2013,32,Alabama,0.0,15307
2013,32,Alabama,1.0,2430
2013,32,Alabama,2.0,30099
2013,32,Kentucky,0.0,12387
2013,32,Kentucky,1.0,2449
2013,32,Kentucky,2.0,30161
2013,32,Mississippi,0.0,11663
2013,32,Mississippi,1.0,1836
2013,32,Mississippi,2.0,16149
2013,32,Tennessee,0.0,18557
2013,32,Tennessee,1.0,3362
2013,32,Tennessee,2.0,43229
2013,33,Arkansas,0.0,10424
2013,33,Arkansas,1.0,1786
2013,33,Arkansas,2.0,17381
2013,33,Louisiana,0.0,14086
2013,33,Louisiana,1.0,2462
2013,33,Louisiana,2.0,28079
2013,33,Oklahoma,0.0,12793
2013,33,Oklahoma,1.0,2834
2013,33,Oklahoma,2.0,21519
2013,33,Texas,0.0,65519
2013,33,Texas,1.0,17230
2013,33,Texas,2.0,170850
2013,41,Arizona,0.0,17329
2013,41,Arizona,1.0,3984
2013,41,Arizona,2.0,45219
2013,41,Colorado,0.0,9428
2013,41,Colorado,1.0,3908
2013,41,Colorado,2.0,38771
2013,41,Idaho,0.0,3446
2013,41,Idaho,1.0,1825
2013,41,Idaho,2.0,10515
2013,41,Montana,0.0,2561
2013,41,Montana,1.0,958
2013,41,Montana,2.0,6594
2013,41,Nevada,0.0,5318
2013,41,Nevada,1.0,1824
2013,41,Nevada,2.0,19606
2013,41,New Mexico,0.0,7048
2013,41,New Mexico,1.0,1362
2013,41,New Mexico,2.0,11304
2013,41,Utah,0.0,4668
2013,41,Utah,1.0,2454
2013,41,Utah,2.0,21845
2013,41,Wyoming,0.0,1288
2013,41,Wyoming,1.0,554
2013,41,Wyoming,2.0,3986
2013,42,Alaska,0.0,1989
2013,42,Alaska,1.0,469
2013,42,Alaska,2.0,4290
2013,42,California,0.0,76297
2013,42,California,1.0,20557
2013,42,California,2.0,274549
2013,42,Hawaii,0.0,2825
2013,42,Hawaii,1.0,445
2013,42,Hawaii,2.0,11016
2013,42,Oregon,0.0,7638
2013,42,Oregon,1.0,2464
2013,42,Oregon,2.0,29240
2013,42,Washington,0.0,12549
2013,42,Washington,1.0,3805
2013,42,Washington,2.0,53239
2015,11,Connecticut,0.0,6028
2015,11,Connecticut,1.0,986
2015,11,Connecticut,2.0,28773
2015,11,Maine,0.0,2935
2015,11,Maine,1.0,630
2015,11,Maine,2.0,9494
2015,11,Massachusetts,0.0,12321
2015,11,Massachusetts,1.0,1650
2015,11,Massachusetts,2.0,54814
2015,11,New Hampshire,0.0,2216
2015,11,New Hampshire,1.0,534
2015,11,New Hampshire,2.0,10628
2015,11,Rhode Island,0.0,2114
2015,11,Rhode Island,1.0,218
2015,11,Rhode Island,2.0,8231
2015,11,Vermont,0.0,1223
2015,11,Vermont,1.0,342
2015,11,Vermont,2.0,4761
2015,12,New Jersey,0.0,13521
2015,12,New Jersey,1.0,2493
2015,12,New Jersey,2.0,71801
2015,12,New York,0.0,40055
2015,12,New York,1.0,7257
2015,12,New York,2.0,148430
2015,12,Pennsylvania,0.0,29240
2015,12,Pennsylvania,1.0,4771
2015,12,Pennsylvania,2.0,94134
2015,21,Illinois,0.0,25228
2015,21,Illinois,1.0,7580
2015,21,Illinois,2.0,93834
2015,21,Indiana,0.0,16291
2015,21,Indiana,1.0,3910
2015,21,Indiana,2.0,45844
2015,21,Michigan,0.0,22672
2015,21,Michigan,1.0,7432
2015,21,Michigan,2.0,67904
2015,21,Ohio,0.0,25751
2015,21,Ohio,1.0,5491
2015,21,Ohio,2.0,86881
2015,21,Wisconsin,0.0,12767
2015,21,Wisconsin,1.0,4768
2015,21,Wisconsin,2.0,41043
2015,22,Iowa,0.0,7433
2015,22,Iowa,1.0,2403
2015,22,Iowa,2.0,22064
2015,22,Kansas,0.0,6383
2015,22,Kansas,1.0,1865
2015,22,Kansas,2.0,20526
2015,22,Minnesota,0.0,10891
2015,22,Minnesota,1.0,4674
2015,22,Minnesota,2.0,39246
2015,22,Missouri,0.0,15728
2015,22,Missouri,1.0,4452
2015,22,Missouri,2.0,41406
2015,22,Nebraska,0.0,3989
2015,22,Nebraska,1.0,1338
2015,22,Nebraska,2.0,13762
2015,22,North Dakota,0.0,1746
2015,22,North Dakota,1.0,392
2015,22,North Dakota,2.0,5731
2015,22,South Dakota,0.0,2227
2015,22,South Dakota,1.0,494
2015,22,South Dakota,2.0,6021
2015,31,Delaware,0.0,1717
2015,31,Delaware,1.0,263
2015,31,Delaware,2.0,7037
2015,31,District of Columbia,0.0,1595
2015,31,District of Columbia,1.0,224
2015,31,District of Columbia,2.0,4791
2015,31,Florida,0.0,38408
2015,31,Florida,1.0,8000
2015,31,Florida,2.0,148140
2015,31,Georgia,0.0,23113
2015,31,Georgia,1.0,5168
2015,31,Georgia,2.0,69573
2015,31,Maryland,0.0,9990
2015,31,Maryland,1.0,2058
2015,31,Maryland,2.0,47284
2015,31,North Carolina,0.0,23333
2015,31,North Carolina,1.0,4537
2015,31,North Carolina,2.0,70314
2015,31,South Carolina,0.0,13270
2015,31,South Carolina,1.0,2499
2015,31,South Carolina,2.0,32254
2015,31,Virginia,0.0,16321
2015,31,Virginia,1.0,4432
2015,31,Virginia,2.0,62719
2015,31,West Virginia,0.0,4731
2015,31,West Virginia,1.0,1039
2015,31,West Virginia,2.0,12281
2015,32,Alabama,0.0,14002
2015,32,Alabama,1.0,2970
2015,32,Alabama,2.0,30504
2015,32,Kentucky,0.0,11488
2015,32,Kentucky,1.0,2754
2015,32,Kentucky,2.0,30507
2015,32,Mississippi,0.0,10946
2015,32,Mississippi,1.0,2287
2015,32,Mississippi,2.0,16367
2015,32,Tennessee,0.0,17186
2015,32,Tennessee,1.0,3675
2015,32,Tennessee,2.0,44688
2015,33,Arkansas,0.0,9609
2015,33,Arkansas,1.0,2249
2015,33,Arkansas,2.0,17747
2015,33,Louisiana,0.0,12470
2015,33,Louisiana,1.0,2905
2015,33,Louisiana,2.0,28517
2015,33,Oklahoma,0.0,11534
2015,33,Oklahoma,1.0,3475
2015,33,Oklahoma,2.0,22242
2015,33,Texas,0.0,61954
2015,33,Texas,1.0,19454
2015,33,Texas,2.0,177816
2015,41,Arizona,0.0,14975
2015,41,Arizona,1.0,4983
2015,41,Arizona,2.0,47056
2015,41,Colorado,0.0,8272
2015,41,Colorado,1.0,4202
2015,41,Colorado,2.0,41096
2015,41,Idaho,0.0,3031
2015,41,Idaho,1.0,1856
2015,41,Idaho,2.0,10838
2015,41,Montana,0.0,2327
2015,41,Montana,1.0,947
2015,41,Montana,2.0,6567
2015,41,Nevada,0.0,4662
2015,41,Nevada,1.0,1644
2015,41,Nevada,2.0,20682
2015,41,New Mexico,0.0,6682
2015,41,New Mexico,1.0,1328
2015,41,New Mexico,2.0,11062
2015,41,Utah,0.0,4160
2015,41,Utah,1.0,2535
2015,41,Utah,2.0,22595
2015,41,Wyoming,0.0,1170
2015,41,Wyoming,1.0,607
2015,41,Wyoming,2.0,4042
2015,42,Alaska,0.0,1502
2015,42,Alaska,1.0,453
2015,42,Alaska,2.0,4664
2015,42,California,0.0,64911
2015,42,California,1.0,23175
2015,42,California,2.0,286857
2015,42,Hawaii,0.0,2395
2015,42,Hawaii,1.0,451
2015,42,Hawaii,2.0,11278
2015,42,Oregon,0.0,6743
2015,42,Oregon,1.0,2793
2015,42,Oregon,2.0,30456
2015,42,Washington,0.0,10858
2015,42,Washington,1.0,4094
2015,42,Washington,2.0,56852
2017,11,Connecticut,0.0,4884
2017,11,Connecticut,1.0,1434
2017,11,Connecticut,2.0,29660
2017,11,Maine,0.0,2299
2017,11,Maine,1.0,792
2017,11,Maine,2.0,9492
2017,11,Massachusetts,0.0,10140
2017,11,Massachusetts,1.0,2184
2017,11,Massachusetts,2.0,57311
2017,11,New Hampshire,0.0,1741
2017,11,New Hampshire,1.0,624
2017,11,New Hampshire,2.0,11343
2017,11,Rhode Island,0.0,1609
2017,11,Rhode Island,1.0,295
2017,11,Rhode Island,2.0,8612
2017,11,Vermont,0.0,1111
2017,11,Vermont,1.0,414
2017,11,Vermont,2.0,4815
2017,12,New Jersey,0.0,10012
2017,12,New Jersey,1.0,3691
2017,12,New Jersey,2.0,74411
2017,12,New York,0.0,30905
2017,12,New York,1.0,9805
2017,12,New York,2.0,155875
2017,12,Pennsylvania,0.0,22223
2017,12,Pennsylvania,1.0,6124
2017,12,Pennsylvania,2.0,99086
2017,21,Illinois,0.0,18224
2017,21,Illinois,1.0,10686
2017,21,Illinois,2.0,97572
2017,21,Indiana,0.0,11747
2017,21,Indiana,1.0,5768
2017,21,Indiana,2.0,49489
2017,21,Michigan,0.0,15604
2017,21,Michigan,1.0,9167
2017,21,Michigan,2.0,74688
2017,21,Ohio,0.0,19126
2017,21,Ohio,1.0,8287
2017,21,Ohio,2.0,91429
2017,21,Wisconsin,0.0,9526
2017,21,Wisconsin,1.0,6178
2017,21,Wisconsin,2.0,43355
2017,22,Iowa,0.0,5680
2017,22,Iowa,1.0,2988
2017,22,Iowa,2.0,23788
2017,22,Kansas,0.0,4898
2017,22,Kansas,1.0,2393
2017,22,Kansas,2.0,22083
2017,22,Minnesota,0.0,7848
2017,22,Minnesota,1.0,5378
2017,22,Minnesota,2.0,41935
2017,22,Missouri,0.0,11258
2017,22,Missouri,1.0,6127
2017,22,Missouri,2.0,44688
2017,22,Nebraska,0.0,3039
2017,22,Nebraska,1.0,1632
2017,22,Nebraska,2.0,14874
2017,22,North Dakota,0.0,1470
2017,22,North Dakota,1.0,499
2017,22,North Dakota,2.0,5923
2017,22,South Dakota,0.0,1860
2017,22,South Dakota,1.0,542
2017,22,South Dakota,2.0,6479
2017,31,Delaware,0.0,1115
2017,31,Delaware,1.0,417
2017,31,Delaware,2.0,7411
2017,31,District of Columbia,0.0,1274
2017,31,District of Columbia,1.0,249
2017,31,District of Columbia,2.0,5042
2017,31,Florida,0.0,29624
2017,31,Florida,1.0,13492
2017,31,Florida,2.0,156528
2017,31,Georgia,0.0,16409
2017,31,Georgia,1.0,8298
2017,31,Georgia,2.0,75092
2017,31,Maryland,0.0,7110
2017,31,Maryland,1.0,2971
2017,31,Maryland,2.0,49382
